latitude,longitude,bright_ti4,Tanggal,tgl,kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,geo,jarak,hs,,,,,,,,,,,,
-3.50818,105.34071,350.5,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50818105.34071,87.41946833,1,,,,,,,,,,,,
-3.50764,105.34425,356.45,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50764105.34425,87.67448238,1,,,,,,,,,,,,
-3.5071,105.3478,367,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50710105.34780,87.93139415,1,,,,,,,,,,,,
-3.50684,105.41663,331.75,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50684105.41663,93.80328417,1,,,,,,,,,,,,
-3.50655,105.35134,367,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50655105.35134,88.18779941,1,,,,,,,,,,,,
-3.50629,105.42018,332.06,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50629105.42018,94.07657834,1,,,,,,,,,,,,
-3.50601,105.35488,353.48,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50601105.35488,88.44597635,1,,,,,,,,,,,,
-3.50547,105.35842,351.98,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50547105.35842,88.70518745,1,,,,,,,,,,,,
-3.50538,105.33667,334.83,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50538105.33667,86.87824977,1,,,,,,,,,,,,
-3.50483,105.34021,348.02,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50483105.34021,87.13230125,1,,,,,,,,,,,,
-3.50425,104.65644,347.23,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50425104.65644,58.61231419,1,,,,,,,,,,,,
